airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,GRU,FFF,PER,CONFIRMED,XX
XX,29.07.2019,PNH,FFF,MEL,CONFIRMED,XX
XX,16.01.2020,ZRH,FFF,ABV,CONFIRMED,XX
XX,04.03.2020,AMM,FFF,PEN,CONFIRMED,XX
XX,06.07.2019,JED,FFF,CCU,CONFIRMED,XX
XX,07.07.2019,GOT,FFF,ZAZ,CONFIRMED,XX
XX,06.07.2019,LGW,FFF,BSL,CONFIRMED,XX
XX,25.10.2019,BKK,FFF,DUB,CONFIRMED,XX
XX,06.07.2019,IKA,FFF,AMM,CONFIRMED,XX
XX,06.07.2019,MLA,FFF,AUH,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,PEK,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,IST,CONFIRMED,XX
XX,06.07.2019,GIG,FFF,COK,CONFIRMED,XX
XX,06.07.2019,STN,FFF,ABJ,CONFIRMED,XX
XX,04.03.2020,PEK,FFF,PEN,CONFIRMED,XX
XX,06.07.2019,HEL,FFF,DUS,CONFIRMED,XX
XX,06.07.2019,CCJ,FFF,DXB,CONFIRMED,XX
XX,20.03.2020,DFW,FFF,DWC,CONFIRMED,XX
XX,06.07.2019,MLA,FFF,KWI,CONFIRMED,XX
XX,06.07.2019,LAX,FFF,INC,CONFIRMED,XX
XX,06.07.2019,CGO,FFF,CRK,CONFIRMED,XX
XX,06.07.2019,MHD,FFF,ATL,CONFIRMED,XX
XX,06.07.2019,AUH,FFF,KAN,CONFIRMED,XX
XX,06.07.2019,GVA,FFF,CAI,CONFIRMED,XX
XX,06.07.2019,CAI,FFF,NRT,CONFIRMED,XX
XX,06.07.2019,IAD,FFF,ADL,CONFIRMED,XX
XX,06.07.2019,BUD,FFF,BEY,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,HKT,CONFIRMED,XX
XX,14.11.2019,CAI,FFF,CPH,CONFIRMED,XX
XX,30.10.2019,ORD,FFF,BUD,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,RGN,CONFIRMED,XX
XX,06.07.2019,BOM,FFF,ARN,CONFIRMED,XX
XX,25.02.2020,ATH,FFF,SZG,CONFIRMED,XX
XX,04.03.2020,BSL,FFF,PEN,CONFIRMED,XX
XX,06.07.2019,TRV,FFF,SGN,CONFIRMED,XX
XX,06.07.2019,KUL,FFF,MMX,CONFIRMED,XX
XX,06.07.2019,ZAG,FFF,BLQ,CONFIRMED,XX
XX,06.07.2019,CAN,FFF,ABV,CONFIRMED,XX
XX,06.07.2019,MHD,FFF,EBB,CONFIRMED,XX
XX,25.10.2019,SEA,FFF,YYZ,CONFIRMED,XX
XX,29.07.2019,MEL,FFF,BGW,CONFIRMED,XX
XX,06.07.2019,NGO,FFF,GVA,CONFIRMED,XX
XX,06.07.2019,SFO,FFF,EZE,CONFIRMED,XX
XX,06.07.2019,JED,FFF,COK,CONFIRMED,XX
XX,06.07.2019,BEY,FFF,AMD,CONFIRMED,XX
XX,06.07.2019,MCT,FFF,HAM,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,BRU,CONFIRMED,XX
XX,06.07.2019,IAD,FFF,MAA,CONFIRMED,XX
XX,06.07.2019,HYD,FFF,LGW,CONFIRMED,XX
XX,06.07.2019,CMB,FFF,PVG,CONFIRMED,XX
XX,06.07.2019,JNB,FFF,SKT,CONFIRMED,XX
XX,06.07.2019,ATH,FFF,INC,CONFIRMED,XX
XX,16.01.2020,ZRH,FFF,PEW,CONFIRMED,XX
XX,06.07.2019,ABJ,FFF,BOS,CONFIRMED,XX
XX,25.10.2019,JFK,FFF,COK,CONFIRMED,XX
XX,20.03.2020,DFW,FFF,MRU,CONFIRMED,XX
XX,10.01.2020,DUR,FFF,LNZ,CONFIRMED,XX
XX,06.07.2019,DMM,FFF,SEZ,CONFIRMED,XX
XX,06.07.2019,WAW,FFF,JIB,CONFIRMED,XX
XX,06.07.2019,KBP,FFF,LHR,CONFIRMED,XX
XX,16.03.2020,MAD,FFF,MRU,CONFIRMED,XX
XX,06.07.2019,NBO,FFF,JFK,CONFIRMED,XX
XX,06.07.2019,SEA,FFF,SAW,CONFIRMED,XX
XX,06.07.2019,MEX,FFF,SEA,CONFIRMED,XX
XX,06.07.2019,EBB,FFF,MNL,CONFIRMED,XX
XX,04.03.2020,PEN,FFF,KRT,CONFIRMED,XX
XX,06.07.2019,PEW,FFF,BSL,CONFIRMED,XX
XX,06.07.2019,ARN,FFF,PEK,CONFIRMED,XX
XX,23.01.2020,DME,FFF,AMS,CONFIRMED,XX
XX,28.07.2019,MAN,FFF,FRA,CONFIRMED,XX
XX,06.07.2019,MLE,FFF,DAR,CONFIRMED,XX
XX,06.07.2019,BSR,FFF,TUN,CONFIRMED,XX
XX,06.07.2019,BOS,FFF,LYS,CONFIRMED,XX
XX,06.07.2019,CMB,FFF,AGT,CONFIRMED,XX
XX,07.07.2019,GOT,FFF,NCE,CONFIRMED,XX
XX,06.07.2019,HAM,FFF,TUN,CONFIRMED,XX
XX,06.07.2019,NCE,FFF,BGW,CONFIRMED,XX
XX,06.07.2019,CDG,FFF,KUL,CONFIRMED,XX
XX,06.07.2019,CAN,FFF,DUR,CONFIRMED,XX
XX,06.07.2019,SIN,FFF,IST,CONFIRMED,XX
XX,10.01.2020,YYZ,FFF,LNZ,CONFIRMED,XX
XX,06.07.2019,MAA,FFF,ALG,CONFIRMED,XX
XX,06.07.2019,AGT,FFF,NRT,CONFIRMED,XX
XX,06.07.2019,MLE,FFF,PVG,CONFIRMED,XX
XX,25.10.2019,YYZ,FFF,EZE,CONFIRMED,XX
XX,06.07.2019,COK,FFF,WAW,CONFIRMED,XX
XX,06.07.2019,CAI,FFF,NCL,CONFIRMED,XX
XX,06.07.2019,KAN,FFF,VCP,CONFIRMED,XX
XX,06.07.2019,BCN,FFF,EBL,CONFIRMED,XX
XX,06.07.2019,BNE,FFF,MED,CONFIRMED,XX
XX,06.07.2019,ISB,FFF,AKL,CONFIRMED,XX
XX,06.07.2019,EDI,FFF,LIS,CONFIRMED,XX
