airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,CAI,GGG,NCL,CONFIRMED,XX
XX,06.07.2019,KAN,GGG,VCP,CONFIRMED,XX
XX,06.07.2019,BCN,GGG,EBL,CONFIRMED,XX
XX,06.07.2019,BNE,GGG,MED,CONFIRMED,XX
XX,06.07.2019,ISB,GGG,AKL,CONFIRMED,XX
XX,06.07.2019,EDI,GGG,LIS,CONFIRMED,XX
XX,06.07.2019,ACC,GGG,MUX,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,DMM,CONFIRMED,XX
XX,06.07.2019,OPO,GGG,EBB,CONFIRMED,XX
XX,06.07.2019,CDG,GGG,DMM,CONFIRMED,XX
XX,06.07.2019,HKG,GGG,MLE,CONFIRMED,XX
XX,06.07.2019,EBB,GGG,IKA,CONFIRMED,XX
XX,06.07.2019,LIS,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,ATH,GGG,IAH,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,MEL,CONFIRMED,XX
XX,06.07.2019,VCP,GGG,MAN,CONFIRMED,XX
XX,06.07.2019,SFO,GGG,AGT,CONFIRMED,XX
XX,06.07.2019,BKK,GGG,VIE,CONFIRMED,XX
XX,23.01.2020,DME,GGG,HYD,CONFIRMED,XX
XX,06.07.2019,BNE,GGG,BLL,CONFIRMED,XX
XX,06.07.2019,VCP,GGG,PNH,CONFIRMED,XX
XX,29.07.2019,VCP,GGG,MEL,CONFIRMED,XX
XX,25.10.2019,YYZ,GGG,MED,CONFIRMED,XX
XX,06.07.2019,MMX,GGG,BEY,CONFIRMED,XX
XX,06.07.2019,MCO,GGG,KBP,CONFIRMED,XX
XX,06.07.2019,DUR,GGG,HAM,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,DXB,CONFIRMED,XX
XX,06.07.2019,ZAG,GGG,MED,CONFIRMED,XX
XX,06.07.2019,WAW,GGG,IKA,CONFIRMED,XX
XX,25.10.2019,JFK,GGG,KBP,CONFIRMED,XX
XX,06.07.2019,MLA,GGG,DOH,CONFIRMED,XX
XX,06.07.2019,HAN,GGG,AKL,CONFIRMED,XX
XX,06.07.2019,LCA,GGG,BUD,CONFIRMED,XX
XX,06.07.2019,VCP,GGG,NGO,CONFIRMED,XX
XX,06.07.2019,SGN,GGG,TPE,CONFIRMED,XX
XX,06.07.2019,JNB,GGG,IST,CONFIRMED,XX
XX,25.02.2020,SZG,GGG,DUB,CONFIRMED,XX
XX,06.07.2019,DAR,GGG,DUS,CONFIRMED,XX
XX,14.11.2019,CPH,GGG,INC,CONFIRMED,XX
XX,22.07.2019,MRU,GGG,CMN,CONFIRMED,XX
XX,06.07.2019,LHE,GGG,LGW,CONFIRMED,XX
XX,25.10.2019,YYZ,GGG,MNL,CONFIRMED,XX
XX,06.07.2019,VIE,GGG,MST,CONFIRMED,XX
XX,25.02.2020,SZG,GGG,CRK,CONFIRMED,XX
XX,06.07.2019,SFO,GGG,KUL,CONFIRMED,XX
XX,06.07.2019,KBP,GGG,FLL,CONFIRMED,XX
XX,14.02.2020,PNH,GGG,OSL,CONFIRMED,XX
XX,06.07.2019,ZAG,GGG,ARN,CONFIRMED,XX
XX,06.07.2019,SGN,GGG,MCO,CONFIRMED,XX
XX,23.01.2020,DME,GGG,PRG,CONFIRMED,XX
XX,06.07.2019,BCN,GGG,DOH,CONFIRMED,XX
XX,14.11.2019,KRT,GGG,OUA,CONFIRMED,XX
XX,06.07.2019,BSL,GGG,EDI,CONFIRMED,XX
XX,06.07.2019,ICN,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,SKT,GGG,HKG,CONFIRMED,XX
XX,14.11.2019,BUD,GGG,CPH,CONFIRMED,XX
XX,06.07.2019,BHX,GGG,SFO,CONFIRMED,XX
XX,06.07.2019,CPT,GGG,ZAZ,CONFIRMED,XX
XX,06.07.2019,KWI,GGG,CAN,CONFIRMED,XX
XX,06.07.2019,EDI,GGG,GIG,CONFIRMED,XX
XX,06.07.2019,DUR,GGG,ZAG,CONFIRMED,XX
XX,06.07.2019,BLL,GGG,OPO,CONFIRMED,XX
XX,06.07.2019,EBL,GGG,SKT,CONFIRMED,XX
XX,06.03.2020,LCK,GGG,BAH,CONFIRMED,XX
XX,06.07.2019,MHD,GGG,HAM,CONFIRMED,XX
XX,06.07.2019,PRG,GGG,HAN,CONFIRMED,XX
XX,06.07.2019,CAN,GGG,BEY,CONFIRMED,XX
XX,22.07.2019,CCJ,GGG,CMN,CONFIRMED,XX
XX,06.07.2019,MNL,GGG,MED,CONFIRMED,XX
XX,16.01.2020,ZRH,GGG,CAI,CONFIRMED,XX
XX,06.07.2019,KIX,GGG,BOM,CONFIRMED,XX
XX,14.11.2019,BHX,GGG,CGP,CONFIRMED,XX
XX,06.07.2019,ATH,GGG,EWR,CONFIRMED,XX
XX,06.07.2019,SAW,GGG,ADL,CONFIRMED,XX
XX,06.07.2019,ICN,GGG,DAR,CONFIRMED,XX
XX,06.07.2019,KHI,GGG,PRG,CONFIRMED,XX
